,booking_id,customer_id,booking_date,destination,number_of_passengers,cost_per_passenger
92,93,148,2023-09-01,Washington DC,3,181
93,94,105,2023-09-02,Hallstatt,2,154
94,95,85,2023-09-03,Bali,4,121
95,96,123,2023-09-04,Markt Hartmannsdorf,4,153
96,97,137,2023-09-05,Maui,3,198
97,98,139,2023-09-06,Novosibirsk,5,179
98,99,136,2023-09-07,Utrecht,5,170
99,100,158,2023-09-08,Queenstown,4,111
100,101,84,2023-09-09,Lisbon,2,135
101,102,28,2023-09-10,Gobi Desert,4,154
102,103,110,2023-09-11,Reykjavik,3,183
103,104,42,2023-09-12,Bali,5,129
104,105,19,2023-09-13,Lake Bled,2,146
105,106,10,2023-09-14,Castelluccio,1,110
106,107,128,2023-09-15,Gobi Desert,4,134
107,108,168,2023-09-16,Seville,5,127
108,109,118,2023-09-17,Northern Ireland,2,117
109,110,151,2023-09-18,Chicago,4,163
110,111,6,2023-09-19,Bruges,3,178
111,112,153,2023-09-20,Plitvice Lakes National Park,2,149
112,113,121,2023-09-21,Chicago,5,187
113,114,150,2023-09-22,High Atlas Mountains,5,184
114,115,152,2023-09-23,Harbin,5,195
115,116,89,2023-09-24,High Atlas Mountains,2,182
116,117,1,2023-09-25,Keukenhof,4,135
117,118,31,2023-09-26,Trakai Castle,1,182
118,119,24,2023-09-27,Hallstatt,2,157
119,120,119,2023-09-28,Seoul,2,169
120,121,109,2023-09-29,Bruges,2,140
121,122,61,2023-09-30,Richmond Park,4,107
122,123,142,2023-10-01,Lake Bled,2,165
123,124,114,2023-10-02,Richmond Park,5,193
124,125,113,2023-10-03,Lapland,3,171
125,126,170,2023-10-04,Tokyo,1,137
126,127,141,2023-10-05,Schloss Neuschwanstein,4,122
127,128,133,2023-10-06,High Atlas Mountains,3,192
128,129,91,2023-10-07,Reykjavik,3,163
129,130,180,2023-10-08,Tel Aviv,1,119
130,131,27,2023-10-09,Bonn,3,127
131,132,34,2023-10-10,Schloss Neuschwanstein,1,162
132,133,101,2023-10-11,Tel Aviv,2,143
133,134,9,2023-10-12,Harbin,3,166
134,135,112,2023-10-13,Utrecht,1,103
135,136,30,2023-10-14,Northern Ireland,3,186
136,137,176,2023-10-15,Plitvice Lakes National Park,4,186
137,138,21,2023-10-16,Queenstown,2,184
138,139,116,2023-10-17,Keukenhof,4,170
139,140,20,2023-10-18,High Atlas Mountains,3,126
140,141,83,2023-10-19,Zermatt,3,101
141,142,156,2023-10-20,Seville,1,131
142,143,160,2023-10-21,Patagonia,4,160
143,144,125,2023-10-22,London,1,196
144,145,179,2023-10-23,Keukenhof,2,132
145,146,194,2023-10-24,Bonn,5,182
146,147,175,2023-10-25,Maafushi,2,189
147,148,173,2023-10-26,Chicago,5,174
148,149,143,2023-10-27,Northern Ireland,3,147
149,150,131,2023-10-28,Provence,3,171
150,151,182,2023-10-29,Lake Bled,2,180
151,152,127,2023-10-30,Vik,1,123
152,153,149,2023-10-31,Lodz,4,176
153,154,190,2023-11-01,Richmond Park,4,175
154,155,4,2023-11-02,Utrecht,5,116
155,156,13,2023-11-03,Hamburg,3,169
156,157,162,2023-11-04,Pamir Mountains,5,173
157,158,55,2023-11-05,London,1,112
158,159,50,2023-11-06,Reykjavik,5,124
159,160,59,2023-11-07,Seoul,3,153
160,161,97,2023-11-08,Bruges,1,166
161,162,86,2023-11-09,Keukenhof,2,152
162,163,49,2023-11-10,Trakai Castle,1,115
163,164,124,2023-11-11,Queenstown,5,122
164,165,167,2023-11-12,Novosibirsk,2,163
165,166,140,2023-11-13,High Atlas Mountains,5,116
166,167,186,2023-11-14,Bruges,4,188
167,168,197,2023-11-15,Bonn,1,189
168,169,187,2023-11-16,Harbin,1,163
169,170,169,2023-11-17,Keukenhof,1,142
170,171,172,2023-11-18,Utrecht,5,145
171,172,29,2023-11-19,Lapland,2,113
172,173,117,2023-11-20,Queenstown,3,141
173,174,46,2023-11-21,Plitvice Lakes National Park,3,165
174,175,11,2023-11-22,Banff National Park,4,138
175,176,126,2023-11-23,Chicago,4,119
176,177,60,2023-11-24,Hitachi Seaside Park,3,120
177,178,17,2023-11-25,Tuscany,4,146
178,179,196,2023-11-26,Seoul,4,130
179,180,81,2023-11-27,Washington DC,5,125
180,181,45,2023-11-28,Tuscany,1,195
181,182,14,2023-11-29,Keukenhof,4,155
182,183,184,2023-11-30,Vik,3,186
183,184,69,2023-12-01,Castelluccio,3,190
184,185,178,2023-12-02,Mount Fuji,2,162
185,186,108,2023-12-03,Harbin,2,136
186,187,52,2023-12-04,Hamburg,4,193
187,188,174,2023-12-05,Hamburg,1,155
188,189,94,2023-12-06,Pokhara,1,157
189,190,64,2023-12-07,Maafushi,1,106
190,191,192,2023-12-08,Keukenhof,3,161
191,192,36,2023-12-09,Markt Hartmannsdorf,3,187
192,193,98,2023-12-10,Bonn,3,186
193,194,25,2023-12-11,Hitachi Seaside Park,5,148
194,195,41,2023-12-12,Queenstown,4,143
195,196,16,2023-12-13,Bali,4,132
196,197,200,2023-12-14,Vik,1,190
197,198,122,2023-12-15,Hallstatt,1,175
198,199,15,2023-12-16,Whistler,4,159
199,200,107,2023-12-17,Castelluccio,4,113
